coord_X,coord_Y,site_ID,Cr_conc,Ni_conc,Cu_conc,Zn_conc,As_conc,Cd_conc,Hg_conc,Pb_conc
-73.515638,45.692682,AGR11-MED02,144,51,35,105,9,0,1,27
-73.516342,45.695225,AGR11-MED04,269,45,32,108,14,0,0,27
-73.603372,45.441074,FOR1-HIGH01,180,39,26,122,7,0,0,25
-73.610566,45.440435,FOR1-HIGH03,210,53,36,109,12,0,3,30
-73.604904,45.439012,FOR1-HIGH04,121,56,32,136,6,0,0,28
-73.606013,45.442291,FOR1-LOW01,132,44,21,117,5,0,0,24
-73.610382,45.441916,FOR1-LOW02,230,38,28,84,14,0,0,32
-73.59804,45.44148,FOR1-LOW05,102,38,37,166,6,0,0,53
-73.601223,45.439958,FOR1-MED01,107,44,24,140,4,0,0,26
-73.600422,45.439815,FOR1-MED02,222,75,326,1194,0,0,0,957
-73.608591,45.440873,FOR1-MED05,113,40,24,121,2,0,0,25
-73.771591,45.498793,FOR2-HIGH01,84,36,21,127,9,0,0,40
-73.774158,45.495629,FOR2-HIGH03,232,101,34,118,6,0,0,26
-73.77275,45.496877,FOR2-HIGH06,121,57,32,133,7,0,0,23
-73.7608823,45.5019144,FOR2-LOW01,151,40,40,125,8,0,0,107
-73.765308,45.502507,FOR2-LOW02,163,42,43,120,6,0,0,36
-73.762748,45.502151,FOR2-LOW04,156,56,57,156,8,0,0,142
-73.765877,45.499684,FOR2-MED01,1508,222,46,205,8,0,0,94
-73.769994,45.500944,FOR2-MED03,173,33,27,139,7,0,0,37
-73.766643,45.499821,FOR2-MED04,104,37,35,115,10,0,2,111
-73.740628,45.516895,FOR3-HIGH01,207,52,44,130,6,0,0,38
-73.734117,45.515853,FOR3-HIGH03,158,43,42,152,11,0,0,87
-73.73356,45.516523,FOR3-HIGH06,237,40,36,143,8,0,0,132
-73.731843,45.515774,FOR3-LOW03,283,51,52,150,9,0,0,76
-73.736891,45.514538,FOR3-LOW04,180,60,72,317,35,0,0,207
-73.735387,45.515365,FOR3-LOW05,286,55,76,276,28,0,2,209
-73.734625,45.515549,FOR3-MED03,209,51,53,177,18,0,0,107
-73.742833,45.517751,FOR3-MED04,257,53,39,177,14,0,4,99
-73.737221,45.515186,FOR3-MED05,213,53,49,179,16,0,0,87
-73.639803,45.554095,FOR4-HIGH02,282,43,30,124,29,0,0,51
-73.638843,45.555487,FOR4-HIGH03,292,52,48,194,23,0,0,75
-73.640628,45.554104,FOR4-HIGH04,170,53,77,265,53,0,3,181
-73.639333,45.552973,FOR4-LOW01,302,46,46,369,8,0,0,118
-73.640008,45.553035,FOR4-LOW02,373,54,40,140,8,0,0,54
-73.639054,45.55326,FOR4-LOW04,169,52,39,115,12,0,0,36
-73.640756,45.553324,FOR4-MED01,201,35,28,94,2,0,0,32
-73.639502,45.555612,FOR4-MED02,285,44,28,115,6,0,0,37
-73.638765,45.553853,FOR4-MED05,165,40,33,116,6,0,0,39
-73.93028,45.46548,FOR5-HIGH02,179,35,36,114,4,0,0,30
-73.926179,45.468194,FOR5-HIGH03,243,44,32,97,5,0,0,29
-73.931357,45.467946,FOR5-HIGH05,241,47,28,113,9,0,0,51
-73.926192,45.467372,FOR5-LOW01,217,45,26,115,9,0,0,36
-73.931283,45.468943,FOR5-LOW02,242,243,27,128,10,0,0,37
-73.926517,45.467204,FOR5-MED01,393,41,24,99,2,0,1,55
-73.929943,45.469062,FOR5-MED02,188,54,28,103,6,0,0,96
-73.927077,45.467005,FOR5-MED04,262,46,41,129,12,0,0,85
-73.504739,45.698906,FOR6-HIGH01,199,63,82,245,5,0,0,308
-73.499101,45.690004,FOR6-HIGH02,248,57,40,144,8,0,2,78
-73.501884,45.694252,FOR6-HIGH03,237,59,38,118,9,0,0,40
-73.500228,45.690957,FOR6-LOW02,258,85,32,113,9,0,0,38
-73.500376,45.684379,FOR6-LOW03,190,52,28,105,10,0,0,34
-73.5017,45.692883,FOR6-LOW05,316,42,31,104,6,0,0,46
-73.502625,45.694737,FOR6-MED01,152,44,24,90,7,0,0,29
-73.506051,45.699321,FOR6-MED03,163,52,27,102,8,0,0,30
-73.505953,45.698199,FOR6-MED05,254,40,29,94,7,0,0,39
-73.533487,45.514174,FOR8-HIGH02,198,35,24,86,4,0,0,33
-73.534561,45.517092,FOR8-HIGH03,228,40,23,83,5,0,0,26
-73.532166,45.516575,FOR8-HIGH04,193,58,35,106,14,0,0,39
-73.535559,45.516867,FOR8-LOW02,217,51,65,226,15,0,0,192
-73.535038,45.518432,FOR8-LOW03,270,49,65,253,14,0,0,225
-73.532352,45.518508,FOR8-MED01,196,51,66,263,10,0,0,229
-73.532615,45.514188,FOR8-MED02,260,53,81,288,17,0,6,244
-73.533052,45.513688,FOR8-MED03,179,51,80,313,21,0,2,330
-73.912561,45.444958,FOR9-HIGH01,253,53,90,276,13,0,4,305
-73.907939,45.447308,FOR9-HIGH02,185,38,26,117,7,0,1,31
-73.908,45.439651,FOR9-HIGH03,231,38,30,110,4,0,0,38
-73.907901,45.440535,FOR9-LOW01,221,36,31,105,8,0,2,30
-73.909352,45.449506,FOR9-LOW02,150,55,34,112,4,0,0,27
-73.905893,45.441237,FOR9-LOW04,238,58,160,738,7,0,0,413
-73.903967,45.43917,FOR9-MED01,178,40,28,99,4,0,0,26
-73.905144,45.4417,FOR9-MED02,145,62,45,139,6,0,0,35
-73.906409,45.44097,FOR9-MED03,175,46,34,116,2,0,0,27
-73.510161,45.679012,FOR10-HIGH02,310,42,42,147,7,0,0,54
-73.510252,45.679844,FOR10-HIGH04,321,34,30,99,3,0,0,36
-73.512255,45.67738,FOR10-HIGH05,270,49,35,123,7,0,2,37
-73.51043,45.67619,FOR10-MED01,207,41,40,142,10,0,0,55
-73.509294,45.681693,FOR10-MED03,294,48,39,154,9,0,0,59
-73.509495,45.679529,FOR10-MED05,286,42,45,142,7,0,0,35
-73.537849,45.607964,FOR11-HIGH01,215,43,38,143,6,0,0,54
-73.537569,45.607312,FOR11-HIGH02,348,35,30,110,5,0,0,35
-73.540184,45.608567,FOR11-HIGH06,163,51,38,93,15,0,0,37
-73.534359,45.608011,FOR11-LOW01,186,45,31,102,9,0,0,34
-73.533891,45.608323,FOR11-LOW04,231,52,35,86,15,0,0,29
-73.536095,45.608646,FOR11-LOW06,224,47,30,92,8,0,0,25
-73.53738,45.608849,FOR11-MED03,172,48,25,68,5,0,0,20
-73.540637,45.609552,FOR11-MED04,137,52,31,102,8,0,2,26
-73.5337,45.607753,FOR11-MED05,85,45,32,145,8,0,0,23
-73.560016,45.465779,IND2-HIGH02,328,70,35,98,5,0,0,28
-73.559747,45.467343,IND2-HIGH04,158,51,45,134,8,0,3,43
-73.559784,45.46679,IND2-HIGH06,192,50,64,211,9,0,0,99
-73.560499,45.46453,IND2-LOW01,265,31,53,148,3,0,0,48
-73.561566,45.463752,IND2-LOW02,284,35,28,107,5,0,0,31
-73.56057,45.463916,IND2-LOW04,220,26,55,157,3,0,0,48
-73.560588,45.465765,IND2-MED04,183,34,34,106,5,0,0,43
-73.559382,45.468737,IND2-MED06,288,33,31,94,5,0,0,29
-73.560224,45.469335,IND2-MED07,300,45,39,117,4,0,0,35
-73.562933,45.534262,IND3-HIGH01,198,81,52,151,9,0,0,90
-73.562405,45.534151,IND3-HIGH03,270,53,56,176,7,0,0,84
-73.562174,45.534681,IND3-HIGH05,233,44,41,134,7,0,0,127
-73.562987,45.534528,IND3-LOW01,156,66,59,191,5,0,0,188
-73.562324,45.535109,IND3-LOW02,182,51,44,120,7,0,0,53
-73.562912,45.534379,IND3-MED01,185,56,55,128,7,0,0,61
-73.562196,45.534484,IND3-MED02,168,47,30,107,7,0,0,52
-73.562672,45.535092,IND3-MED05,159,50,60,180,7,0,0,76
-73.561995,45.590998,IND5-HIGH01,280,44,44,121,7,0,0,65
-73.560974,45.589026,IND5-HIGH04,216,37,28,111,4,0,0,61
-73.561351,45.590575,IND5-HIGH06,180,39,33,128,5,0,0,33
-73.566644,45.59186,IND5-LOW01,170,33,29,132,6,0,0,70
-73.5616,45.589208,IND5-LOW03,236,46,33,119,11,0,0,53
-73.563986,45.589718,IND5-LOW05,189,45,35,137,10,0,0,59
-73.566572,45.590313,IND5-MED01,258,49,85,205,8,0,0,175
-73.560174,45.589938,IND5-MED03,180,40,41,119,9,0,0,71
-73.560696,45.589759,IND5-MED04,222,41,36,139,9,0,0,73
-73.619572,45.564065,IND6-HIGH01,249,40,33,213,6,0,0,71
-73.618989,45.561505,IND6-HIGH03,248,43,40,135,3,0,0,98
-73.624743,45.564687,IND6-LOW01,297,41,48,152,8,0,0,97
-73.618916,45.563532,IND6-LOW03,238,37,46,118,9,0,0,87
-73.623773,45.563931,IND6-LOW05,138,31,29,87,2,0,0,30
-73.619398,45.563242,IND6-MED01,201,62,34,126,7,0,3,69
-73.618585,45.563583,IND6-MED02,224,42,48,143,5,0,0,140
-73.616067,45.560322,IND6-MED03,295,44,51,157,9,0,0,119
-73.571194,45.563158,IND7-HIGH02,198,48,39,146,6,0,0,92
-73.569635,45.56214,IND7-HIGH04,271,46,41,167,7,0,0,121
-73.571603,45.562657,IND7-HIGH05,234,36,31,101,6,0,0,46
-73.570138,45.562958,IND7-LOW01,231,50,29,105,7,0,0,43
-73.570269,45.563414,IND7-LOW03,217,47,34,152,8,0,0,75
-73.569431,45.56327,IND7-LOW04,145,45,33,120,7,0,0,61
-73.569811,45.56274,IND7-MED02,255,47,45,179,8,0,0,160
-73.570008,45.561901,IND7-MED04,174,53,41,183,8,0,0,86
-73.569791,45.56168,IND7-MED05,198,46,65,215,8,0,0,217
-73.56955,45.552667,IND8-HIGH01,133,47,87,279,3,0,0,143
-73.566317,45.552568,IND8-HIGH03,160,37,24,107,4,0,0,73
-73.569887,45.552034,IND8-HIGH04,369,54,114,459,4,0,0,326
-73.567012,45.551947,IND8-LOW02,127,53,47,147,9,0,0,33
-73.56763,45.552665,IND8-LOW03,132,69,50,154,4,0,3,34
-73.567018,45.552446,IND8-LOW05,181,50,76,254,5,0,0,117
-73.567111,45.551777,IND8-MED01,206,48,49,140,7,0,0,32
-73.567332,45.551519,IND8-MED03,205,48,55,134,5,0,0,68
-73.569312,45.553028,IND8-MED05,159,55,219,471,0,0,0,315
-73.549694,45.549235,IND9-HIGH02,210,48,42,107,5,0,0,23
-73.549206,45.549403,IND9-HIGH04,171,36,39,124,7,0,0,46
-73.549468,45.548754,IND9-HIGH05,190,35,36,105,4,0,0,43
-73.548923,45.548499,IND9-LOW04,305,43,43,98,5,0,0,37
-73.549324,45.548332,IND9-MED01,173,49,44,126,10,0,0,50
-73.548909,45.548133,IND9-MED02,193,36,24,77,1,0,0,37
-73.548801,45.549204,IND9-MED03,418,51,65,171,6,0,1,44
-73.590371,45.53939,IND11-HIGH03,335,50,67,297,12,0,0,221
-73.589647,45.539052,IND11-HIGH04,206,71,57,280,5,0,0,249
-73.595301,45.538077,IND11-HIGH05,181,66,74,317,11,0,0,137
-73.593882,45.538102,IND11-LOW01,215,37,42,128,7,0,0,60
-73.595609,45.538377,IND11-LOW03,334,46,91,275,11,0,5,108
-73.595067,45.541514,IND11-LOW04,293,45,43,129,6,0,2,44
-73.59154,45.539619,IND11-MED04,251,35,39,107,7,0,0,36
-73.595877,45.538598,IND11-MED05,375,58,64,366,8,0,0,119
-73.59201,45.539153,IND11-MED06,346,44,45,210,8,0,0,83
-73.511186,45.695183,IND12-HIGH01,180,58,68,207,17,0,0,457
-73.512596,45.674976,IND12-HIGH03,165,58,74,198,8,0,2,236
-73.513222,45.690764,IND12-HIGH05,166,59,99,230,11,0,2,400
-73.510929,45.674656,IND12-LOW02,306,58,150,395,16,0,3,600
-73.511708,45.693665,IND12-LOW04,232,48,44,168,10,0,0,89
-73.511904,45.693998,IND12-LOW05,220,50,80,232,6,0,0,356
-73.512731,45.67365,IND12-MED01,287,54,217,381,15,0,6,707
-73.513418,45.673571,IND12-MED03,185,58,141,348,12,0,0,584
-73.51109,45.695902,IND12-MED05,149,45,47,111,7,0,1,36
-73.50954,45.604868,IND13-HIGH06,254,37,35,93,4,0,0,30
-73.507949,45.593918,IND13-LOW02,411,139,40,106,5,0,0,28
-73.509939,45.600196,IND13-LOW03,253,38,31,100,4,0,0,28
-73.510312,45.601429,IND13-LOW04,256,32,29,76,3,0,0,28
-73.510258,45.599303,IND13-MED01,197,38,30,95,4,0,0,33
-73.510114,45.603632,IND13-MED02,312,35,30,110,5,0,0,49
-73.507867,45.592434,IND13-MED04,220,82,35,106,5,0,0,31
