coord_X,coord_Y,site_ID,BD_hybrid
-73.737221,45.515186,FOR3-MED05,1.2
-73.639803,45.554095,FOR4-HIGH02,0.36
-73.638843,45.555487,FOR4-HIGH03,1.21
-73.640628,45.554104,FOR4-HIGH04,0.6
-73.639333,45.552973,FOR4-LOW01,0.75
-73.640008,45.553035,FOR4-LOW02,0.69
-73.639054,45.55326,FOR4-LOW04,0.95
-73.640756,45.553324,FOR4-MED01,0.97
-73.639502,45.555612,FOR4-MED02,0.9
-73.638765,45.553853,FOR4-MED05,1.06
-73.93028,45.46548,FOR5-HIGH02,0.84
-73.926179,45.468194,FOR5-HIGH03,1.1
-73.931357,45.467946,FOR5-HIGH05,0.62
-73.926192,45.467372,FOR5-LOW01,1.06
-73.931283,45.468943,FOR5-LOW02,0.7
-73.926517,45.467204,FOR5-MED01,0.87
-73.929943,45.469062,FOR5-MED02,0.9
-73.927077,45.467005,FOR5-MED04,0.85
-73.504739,45.698906,FOR6-HIGH01,0.87
-73.499101,45.690004,FOR6-HIGH02,0.89
-73.501884,45.694252,FOR6-HIGH03,1.27
-73.500228,45.690957,FOR6-LOW02,1.46
-73.500376,45.684379,FOR6-LOW03,0.36
-73.5017,45.692883,FOR6-LOW05,1.49
-73.502625,45.694737,FOR6-MED01,1.14
-73.506051,45.699321,FOR6-MED03,1.12
-73.505953,45.698199,FOR6-MED05,1.36
-73.533487,45.514174,FOR8-HIGH02,1.21
-73.534561,45.517092,FOR8-HIGH03,1.08
-73.532166,45.516575,FOR8-HIGH04,0.93
-73.535559,45.516867,FOR8-LOW02,1.07
-73.535038,45.518432,FOR8-LOW03,1.11
-73.532352,45.518508,FOR8-MED01,1.2
-73.532615,45.514188,FOR8-MED02,1.39
-73.533052,45.513688,FOR8-MED03,1.3
-73.912561,45.444958,FOR9-HIGH01,0.67
-73.907939,45.447308,FOR9-HIGH02,0.98
-73.908,45.439651,FOR9-HIGH03,0.51
-73.907901,45.440535,FOR9-LOW01,0.84
-73.909352,45.449506,FOR9-LOW02,1.07
-73.905893,45.441237,FOR9-LOW04,0.82
-73.903967,45.43917,FOR9-MED01,0.96
-73.905144,45.4417,FOR9-MED02,1.13
-73.906409,45.44097,FOR9-MED03,0.79
-73.590371,45.53939,IND11-HIGH03,1.18
-73.589647,45.539052,IND11-HIGH04,1.17
-73.595301,45.538077,IND11-HIGH05,1.15
-73.593882,45.538102,IND11-LOW01,1.34
-73.595609,45.538377,IND11-LOW03,1.24
-73.595067,45.541514,IND11-LOW04,1.31
-73.59154,45.539619,IND11-MED04,0.78
-73.595877,45.538598,IND11-MED05,1.34
-73.59201,45.539153,IND11-MED06,0.93
-73.511186,45.695183,IND12-HIGH01,0.92
-73.512596,45.674976,IND12-HIGH03,1.38
-73.513222,45.690764,IND12-HIGH05,1.18
-73.510929,45.674656,IND12-LOW02,1.33
-73.511708,45.693665,IND12-LOW04,1.13
-73.511904,45.693998,IND12-LOW05,1.14
-73.512731,45.67365,IND12-MED01,1.28
-73.513418,45.673571,IND12-MED03,1.21
-73.51109,45.695902,IND12-MED05,0.55
-73.50954,45.604868,IND13-HIGH06,1.3
-73.507949,45.593918,IND13-LOW02,0.98
-73.509939,45.600196,IND13-LOW03,1.51
-73.510312,45.601429,IND13-LOW04,0.79
-73.510258,45.599303,IND13-MED01,1.2
-73.510114,45.603632,IND13-MED02,1.37
-73.507867,45.592434,IND13-MED04,1.39
-73.560016,45.465779,IND2-HIGH02,0.78
-73.559747,45.467343,IND2-HIGH04,0.96
-73.559784,45.46679,IND2-HIGH06,0.5
-73.560499,45.46453,IND2-LOW01,1
-73.561566,45.463752,IND2-LOW02,1.41
-73.56057,45.463916,IND2-LOW04,1.39
-73.560588,45.465765,IND2-MED04,1.66
-73.559382,45.468737,IND2-MED06,0.83
-73.560224,45.469335,IND2-MED07,1.17
-73.562933,45.534262,IND3-HIGH01,1.49
-73.562405,45.534151,IND3-HIGH03,1.44
-73.562174,45.534681,IND3-HIGH05,1.57
-73.562987,45.534528,IND3-LOW01,1.44
-73.562324,45.535109,IND3-LOW02,1.41
-73.562912,45.534379,IND3-MED01,1.39
-73.562196,45.534484,IND3-MED02,1.22
-73.562672,45.535092,IND3-MED05,1.35
-73.561995,45.590998,IND5-HIGH01,1.49
-73.560974,45.589026,IND5-HIGH04,1.22
-73.561351,45.590575,IND5-HIGH06,1.32
-73.566644,45.59186,IND5-LOW01,1.51
-73.5616,45.589208,IND5-LOW03,1.28
-73.563986,45.589718,IND5-LOW05,1.28
-73.566572,45.590313,IND5-MED01,1.15
-73.560174,45.589938,IND5-MED03,1.42
-73.560696,45.589759,IND5-MED04,1.41
-73.619572,45.564065,IND6-HIGH01,1.22
-73.618989,45.561505,IND6-HIGH03,0.8
-73.624743,45.564687,IND6-LOW01,0.88
-73.618916,45.563532,IND6-LOW03,0.99
-73.623773,45.563931,IND6-LOW05,1.02
-73.619398,45.563242,IND6-MED01,1.22
-73.618585,45.563583,IND6-MED02,0.87
-73.616067,45.560322,IND6-MED03,0.54
-73.571194,45.563158,IND7-HIGH02,1.24
-73.569635,45.56214,IND7-HIGH04,1.13
-73.571603,45.562657,IND7-HIGH05,1.11
-73.570138,45.562958,IND7-LOW01,0.99
-73.570269,45.563414,IND7-LOW03,1.15
-73.569431,45.56327,IND7-LOW04,1.04
-73.569811,45.56274,IND7-MED02,1.27
-73.570008,45.561901,IND7-MED04,1.09
-73.569791,45.56168,IND7-MED05,1.07
-73.56955,45.552667,IND8-HIGH01,1.48
-73.566317,45.552568,IND8-HIGH03,1.16
-73.569887,45.552034,IND8-HIGH04,1.5
-73.567012,45.551947,IND8-LOW02,1.51
-73.56763,45.552665,IND8-LOW03,1.36
-73.567018,45.552446,IND8-LOW05,1.32
-73.567111,45.551777,IND8-MED01,1.34
-73.567332,45.551519,IND8-MED03,1.07
-73.569312,45.553028,IND8-MED05,1.45
-73.549694,45.549235,IND9-HIGH02,1.24
-73.549206,45.549403,IND9-HIGH04,1.18
-73.549468,45.548754,IND9-HIGH05,1.43
-73.548923,45.548499,IND9-LOW04,1.41
-73.549324,45.548332,IND9-MED01,1.36
-73.548909,45.548133,IND9-MED02,1.62
-73.548801,45.549204,IND9-MED03,1.41
